epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4598.82,0.92556,1.00323,1.13135,0.45148,0.16505,0.16129,0.10805,1.13886,2.43749,1.24121,0.000660045,0.000660045,0.000660045
43,4699.77,0.85601,0.93944,1.06716,0.45162,0.14959,0.16883,0.11347,1.14084,2.45701,1.24606,0.000649046,0.000649046,0.000649046
44,4800.53,0.92763,0.99988,1.14341,0.36583,0.16689,0.14776,0.09949,1.16227,2.67207,1.27014,0.000638047,0.000638047,0.000638047
45,4903.22,0.90522,1.02281,1.14213,0.36116,0.15717,0.13671,0.09127,1.19911,2.84645,1.30369,0.000627048,0.000627048,0.000627048
46,5002.82,0.91154,0.99316,1.12821,0.42394,0.15725,0.16639,0.11304,1.19331,2.6939,1.30927,0.000616049,0.000616049,0.000616049
47,5112.08,0.84919,0.96095,1.11449,0.44248,0.18632,0.19967,0.13593,1.16588,2.42653,1.27187,0.000605051,0.000605051,0.000605051
48,5212.95,0.86526,0.9386,1.10976,0.42422,0.19544,0.19524,0.13362,1.12173,2.38031,1.23952,0.000594052,0.000594052,0.000594052
49,5313.02,0.84502,0.92558,1.08414,0.4143,0.16468,0.1663,0.11241,1.11591,2.46571,1.2281,0.000583053,0.000583053,0.000583053
50,5415.02,0.8778,0.91799,1.1072,0.44897,0.14383,0.14847,0.09985,1.1127,2.54805,1.22217,0.000572054,0.000572054,0.000572054
51,5521.1,0.85968,0.95396,1.11616,0.49771,0.1432,0.13911,0.09506,1.10267,2.57994,1.21247,0.000561055,0.000561055,0.000561055
52,5621.51,0.85032,0.87495,1.07137,0.51417,0.14891,0.14712,0.10247,1.08104,2.60475,1.1954,0.000550056,0.000550056,0.000550056
53,5721.79,0.78625,0.87841,1.06177,0.481,0.1794,0.15937,0.11261,1.06639,2.49296,1.18114,0.000539057,0.000539057,0.000539057
54,5823.31,0.8279,0.87716,1.06911,0.40778,0.16043,0.15377,0.10952,1.09596,2.49397,1.19329,0.000528058,0.000528058,0.000528058
55,5923.04,0.79979,0.85991,1.08318,0.45669,0.13846,0.14315,0.10078,1.09987,2.55674,1.19357,0.000517059,0.000517059,0.000517059
56,6022.84,0.79428,0.8325,1.04347,0.37263,0.1551,0.13557,0.09429,1.0987,2.60313,1.19761,0.00050606,0.00050606,0.00050606
57,6125.76,0.88134,0.91128,1.09784,0.33083,0.19773,0.13605,0.09196,1.11573,2.62003,1.20069,0.000495062,0.000495062,0.000495062
58,6226.9,0.85935,0.92726,1.0922,0.35744,0.17377,0.13706,0.09502,1.13796,2.5827,1.22742,0.000484063,0.000484063,0.000484063
59,6327.21,0.85701,0.89647,1.0612,0.34539,0.17743,0.15046,0.10539,1.12967,2.48933,1.22265,0.000473064,0.000473064,0.000473064
60,6428.36,0.85857,0.92112,1.09225,0.444,0.15829,0.16603,0.11732,1.13142,2.40613,1.22555,0.000462065,0.000462065,0.000462065
61,6527.87,0.82971,0.85361,1.06416,0.3946,0.22933,0.18135,0.12345,1.12538,2.3673,1.22241,0.000451066,0.000451066,0.000451066
62,6633.32,0.83274,0.84996,1.08672,0.44979,0.18875,0.18626,0.12321,1.14749,2.37855,1.23912,0.000440067,0.000440067,0.000440067
63,6733.2,0.74199,0.80756,1.02805,0.44267,0.19322,0.17883,0.1217,1.14625,2.40257,1.24363,0.000429068,0.000429068,0.000429068
64,6835.2,0.76718,0.81302,1.04841,0.50321,0.16593,0.17963,0.12288,1.14238,2.40424,1.25864,0.000418069,0.000418069,0.000418069
65,6939.89,0.77518,0.81314,1.04421,0.51551,0.16834,0.17975,0.12365,1.14946,2.38777,1.27005,0.00040707,0.00040707,0.00040707
66,7049.07,0.77667,0.80688,1.08414,0.4991,0.17416,0.18649,0.13008,1.13843,2.31978,1.249,0.000396071,0.000396071,0.000396071
67,7159.91,0.81074,0.80212,1.04945,0.42764,0.21411,0.18739,0.13017,1.13794,2.33723,1.24298,0.000385073,0.000385073,0.000385073
68,7263.65,0.78365,0.80821,1.056,0.45144,0.21718,0.18481,0.12624,1.12916,2.39723,1.23598,0.000374074,0.000374074,0.000374074
69,7364.06,0.78025,0.80689,1.02931,0.44643,0.20915,0.18475,0.1264,1.12176,2.43475,1.23595,0.000363075,0.000363075,0.000363075
70,7463.92,0.76939,0.81617,1.05008,0.42907,0.20887,0.18802,0.1282,1.12158,2.41839,1.23869,0.000352076,0.000352076,0.000352076
71,7565.88,0.81162,0.82163,1.04116,0.44901,0.18058,0.1873,0.12778,1.12609,2.40185,1.23475,0.000341077,0.000341077,0.000341077
72,7665.35,0.76537,0.79685,1.05571,0.42875,0.17988,0.17665,0.12128,1.11273,2.43566,1.22085,0.000330078,0.000330078,0.000330078
73,7769.63,0.77527,0.77726,1.0341,0.40942,0.17168,0.16674,0.11688,1.09227,2.49745,1.20573,0.000319079,0.000319079,0.000319079
74,7870.06,0.73951,0.75741,1.04097,0.49796,0.14123,0.16562,0.11422,1.09016,2.51684,1.20482,0.00030808,0.00030808,0.00030808
75,7971.09,0.77118,0.78062,1.03047,0.47244,0.13774,0.16032,0.10955,1.09567,2.54981,1.21313,0.000297081,0.000297081,0.000297081
76,8075.21,0.7621,0.74712,1.04363,0.38881,0.16708,0.15907,0.11015,1.08837,2.55636,1.21025,0.000286083,0.000286083,0.000286083
77,8174.81,0.78231,0.75785,1.03851,0.43459,0.16742,0.1612,0.112,1.07967,2.53684,1.20703,0.000275084,0.000275084,0.000275084
78,8274.52,0.74556,0.76728,1.05717,0.42688,0.16483,0.15781,0.11047,1.09031,2.55027,1.21411,0.000264085,0.000264085,0.000264085
79,8371.94,0.72292,0.73897,1.0184,0.40258,0.16475,0.15223,0.10685,1.10476,2.60746,1.22047,0.000253086,0.000253086,0.000253086
80,8473.16,0.80351,0.80875,1.09455,0.42132,0.17124,0.15065,0.10475,1.10421,2.63624,1.22769,0.000242087,0.000242087,0.000242087
81,8574.76,0.73043,0.75605,1.03885,0.43097,0.16807,0.1568,0.10644,1.09628,2.58982,1.22311,0.000231088,0.000231088,0.000231088
82,8705.41,0.74559,0.7683,1.05878,0.43819,0.16627,0.15921,0.10803,1.08363,2.54189,1.21022,0.000220089,0.000220089,0.000220089
83,8814.5,0.74909,0.73041,1.00721,0.42057,0.16485,0.15752,0.10762,1.07789,2.50472,1.206,0.00020909,0.00020909,0.00020909
84,8914.79,0.76766,0.74191,1.04384,0.43965,0.16377,0.16001,0.10933,1.08078,2.4887,1.20524,0.000198091,0.000198091,0.000198091
85,9015.21,0.72835,0.73334,1.02616,0.42269,0.1681,0.16166,0.11193,1.08455,2.47286,1.20491,0.000187092,0.000187092,0.000187092
86,9115.35,0.74821,0.73613,1.04716,0.40578,0.1886,0.16423,0.11451,1.07535,2.45804,1.19607,0.000176094,0.000176094,0.000176094
87,9215.97,0.74179,0.74114,1.0492,0.40938,0.18811,0.16837,0.118,1.06715,2.44327,1.18901,0.000165095,0.000165095,0.000165095
88,9316.47,0.72403,0.70946,1.01988,0.39942,0.18602,0.1711,0.11973,1.05877,2.43267,1.18457,0.000154096,0.000154096,0.000154096
89,9416.76,0.72269,0.71653,1.00233,0.40936,0.17747,0.17193,0.12133,1.05077,2.43099,1.18263,0.000143097,0.000143097,0.000143097
90,9517.28,0.70887,0.69057,1.01055,0.44545,0.16367,0.17357,0.12112,1.046,2.42095,1.18108,0.000132098,0.000132098,0.000132098
91,9616.54,0.68093,0.74463,0.9858,0.3862,0.21925,0.17476,0.12106,1.04941,2.41041,1.18107,0.000121099,0.000121099,0.000121099
92,9713.89,0.62371,0.69087,0.95735,0.40242,0.21272,0.17317,0.11944,1.0678,2.44453,1.1914,0.0001101,0.0001101,0.0001101
93,9812.39,0.66908,0.71976,0.9931,0.40432,0.20814,0.17155,0.11745,1.08394,2.49459,1.19955,9.91012e-05,9.91012e-05,9.91012e-05
94,9910.91,0.65224,0.70658,0.97737,0.40754,0.20355,0.16717,0.11388,1.09493,2.54492,1.20679,8.81023e-05,8.81023e-05,8.81023e-05
95,10009,0.62091,0.68142,0.95817,0.39397,0.19862,0.16415,0.11234,1.09018,2.55521,1.20475,7.71034e-05,7.71034e-05,7.71034e-05
96,10108.4,0.66005,0.7043,0.97346,0.38765,0.20386,0.16164,0.11119,1.08061,2.54813,1.20156,6.61045e-05,6.61045e-05,6.61045e-05
97,10209.8,0.61699,0.65544,0.98496,0.37885,0.20516,0.16204,0.11177,1.07443,2.52616,1.1976,5.51056e-05,5.51056e-05,5.51056e-05
98,10307.2,0.63761,0.67075,0.9897,0.40481,0.18176,0.16165,0.11171,1.072,2.51966,1.19779,4.41067e-05,4.41067e-05,4.41067e-05
99,10404.5,0.61389,0.64143,0.96586,0.43549,0.18139,0.1616,0.11152,1.06805,2.51457,1.19674,3.31078e-05,3.31078e-05,3.31078e-05
100,10502.5,0.60717,0.64655,0.97764,0.41854,0.18752,0.16415,0.11396,1.06631,2.50218,1.19666,2.21089e-05,2.21089e-05,2.21089e-05
